ID	RPM	RPM
EfM3.020020	290.859865912	49.5450116431
EfM3.081270	192.991923608	33.0300077621
EfM3.019700	383.239886217	66.0600155241
EfM3.047830	191.619943109	33.0300077621
EfM3.049200	191.162616275	33.0300077621
EfM3.012760	380.953252051	66.0600155241
EfM3.008070	761.449177269	132.120031048
EfM3.060970	379.123944718	66.0600155241
EfM3.004680	378.666617885	66.0600155241
EfM3.041580	281.713329248	49.5450116431
EfM3.040840	187.50400161	33.0300077621
EfM3.015050	278.512041416	49.5450116431
EfM3.041490	369.520081221	66.0600155241
EfM3.028680	640.714893306	115.605027167
EfM3.076660	182.473406445	33.0300077621
EfM3.027740	181.558752778	33.0300077621
EfM3.069490	181.558752778	33.0300077621
EfM3.063130	181.101425945	33.0300077621
EfM3.059380	81.4041763086	445.905104788
EfM3.073830	244.212528926	1337.71531436
EfM3.006180	361.745525057	66.0600155241
EfM3.047200	180.186772279	33.0300077621
EfM3.061400	179.729445445	33.0300077621
EfM3.041480	538.27368267	99.0900232862
EfM3.062370	622.421819978	115.605027167
EfM3.029970	354.885622559	66.0600155241
EfM3.058240	265.706890086	49.5450116431
EfM3.040760	49.391297985	264.240062096
EfM3.013070	263.42025592	49.5450116431
EfM3.014750	525.468531341	99.0900232862
EfM3.048810	69.0563518124	363.330085383
EfM3.054120	1121.82272183	214.695050453
EfM3.072290	423.484647538	82.5750194051
EfM3.065520	337.964529731	66.0600155241
EfM3.008180	253.35906559	49.5450116431
EfM3.014530	336.135222398	66.0600155241
EfM3.013530	502.144862848	99.0900232862
EfM3.001210	417.99672554	82.5750194051
EfM3.035390	250.615104591	49.5450116431
EfM3.041570	417.082071873	82.5750194051
EfM3.035270	249.243124091	49.5450116431
EfM3.073210	1571.37499886	313.785073739
EfM3.043150	247.871143591	49.5450116431
EfM3.050230	329.2753199	66.0600155241
EfM3.057570	658.093312967	132.120031048
EfM3.021710	410.679496209	82.5750194051
EfM3.035730	327.446012567	66.0600155241
EfM3.001230	245.127182592	49.5450116431
EfM3.000430	407.93553521	82.5750194051
EfM3.057490	30.1835709908	148.635034929
EfM3.003940	325.159378401	66.0600155241
EfM3.004020	403.819593711	82.5750194051
EfM3.028330	322.415417402	66.0600155241
EfM3.072910	45347.1567991	9380.52220442
EfM3.058270	238.267280094	49.5450116431
EfM3.026620	237.352626428	49.5450116431
EfM3.035420	316.012841737	66.0600155241
EfM3.030530	236.437972762	49.5450116431
EfM3.048170	551.536160833	115.605027167
EfM3.015660	1260.39275228	264.240062096
EfM3.066700	314.183534405	66.0600155241
EfM3.025590	233.694011762	49.5450116431
EfM3.011650	1087.52320934	231.210054334
EfM3.064200	24.6956489925	115.605027167
EfM3.042130	38.8727808215	181.665042691
EfM3.030150	382.782559384	82.5750194051
EfM3.005180	1142.85975615	247.725058215
EfM3.047180	607.787361316	132.120031048
EfM3.007150	227.748762931	49.5450116431
EfM3.028920	825.932260749	181.665042691
EfM3.077830	750.016006439	165.15003881
EfM3.060520	449.094950197	99.0900232862
EfM3.007660	224.090148265	49.5450116431
EfM3.028470	297.262441576	66.0600155241
EfM3.081960	514.950014177	115.605027167
EfM3.014800	294.061153744	66.0600155241
EfM3.032700	219.974206767	49.5450116431
EfM3.015580	219.516879933	49.5450116431
EfM3.024120	219.516879933	49.5450116431
EfM3.053490	291.317192745	66.0600155241
EfM3.039920	652.605390969	148.635034929
EfM3.015230	144.515279289	627.570147479
EfM3.045940	501.230209181	115.605027167
EfM3.065550	639.800239639	148.635034929
EfM3.028490	637.970932306	148.635034929
EfM3.030100	423.941974371	99.0900232862
EfM3.072150	705.197976786	165.15003881
EfM3.078490	211.284996936	49.5450116431
EfM3.034680	209.913016436	49.5450116431
EfM3.026740	1677.01749732	396.360093145
EfM3.077900	3197.6292177	759.690178527
EfM3.060780	555.194775498	132.120031048
EfM3.044930	276.22540725	66.0600155241
EfM3.078900	344.824432229	82.5750194051
EfM3.073270	275.310753583	66.0600155241
EfM3.056530	205.797074938	49.5450116431
EfM3.032320	684.618269292	165.15003881
EfM3.022210	205.339748104	49.5450116431
EfM3.045110	27.8969368249	115.605027167
EfM3.057870	339.793837064	82.5750194051
EfM3.051700	270.737485251	66.0600155241
EfM3.015110	541.017643669	132.120031048
EfM3.031590	743.156103941	181.665042691
EfM3.021040	941.635949548	231.210054334
EfM3.074610	403.362266878	99.0900232862
EfM3.065010	400.618305878	99.0900232862
EfM3.042650	600.012805151	148.635034929
EfM3.082560	466.473369859	115.605027167
EfM3.041650	266.164216919	66.0600155241
EfM3.082040	1723.66483431	429.390100907
EfM3.079300	861.146426905	214.695050453
EfM3.046770	1059.16894568	264.240062096
EfM3.072300	528.21249234	132.120031048
EfM3.002540	788.431460428	198.180046572
EfM3.075420	2625.05602254	660.600155241
EfM3.002630	327.903339401	82.5750194051
EfM3.022930	262.048275421	66.0600155241
EfM3.078030	327.446012567	82.5750194051
EfM3.009970	1696.68255115	429.390100907
EfM3.026430	260.676294921	66.0600155241
EfM3.056820	519.980609342	132.120031048
EfM3.002830	259.761641255	66.0600155241
EfM3.024560	517.236648343	132.120031048
EfM3.011070	258.389660755	66.0600155241
EfM3.064860	774.711655432	198.180046572
EfM3.001760	257.932333922	66.0600155241
EfM3.029410	257.932333922	66.0600155241
EfM3.065810	1347.28485059	346.815081502
EfM3.076450	833.249490081	214.695050453
EfM3.017320	447.265642864	115.605027167
EfM3.082430	637.513605473	165.15003881
EfM3.022510	253.816392423	66.0600155241
EfM3.031870	251.98708509	66.0600155241
EfM3.024110	942.093276381	247.725058215
EfM3.009490	251.072431424	66.0600155241
EfM3.003880	439.033759867	115.605027167
EfM3.028480	6757.46128728	1783.62041915
EfM3.018330	249.700450924	66.0600155241
EfM3.022120	39.3301076547	148.635034929
EfM3.062430	1247.58760095	330.300077621
EfM3.015530	371.806715387	99.0900232862
EfM3.060410	867.091675737	231.210054334
EfM3.076870	617.391224813	165.15003881
EfM3.056310	553.365468165	148.635034929
EfM3.017060	5590.8205358	1502.86535317
EfM3.081130	245.584509426	66.0600155241
EfM3.032860	735.381547777	198.180046572
EfM3.054000	4344.60491535	1172.56527555
EfM3.007040	425.771281704	115.605027167
EfM3.026810	1804.15435695	495.450116431
EfM3.004240	360.830871391	99.0900232862
EfM3.076240	240.096587427	66.0600155241
EfM3.052810	540.102990003	148.635034929
EfM3.050330	36.5861466556	132.120031048
EfM3.018210	475.619906522	132.120031048
EfM3.038040	237.809953261	66.0600155241
EfM3.020300	474.705252856	132.120031048
EfM3.074890	709.313918285	198.180046572
EfM3.066440	353.513642059	99.0900232862
EfM3.059150	589.036961155	165.15003881
EfM3.080950	234.608665429	66.0600155241
EfM3.051740	130.33814746	462.420108669
EfM3.013160	233.694011762	66.0600155241
EfM3.066370	233.694011762	66.0600155241
EfM3.073190	294.975807411	1040.4452445
EfM3.001290	466.016043025	132.120031048
EfM3.026500	640.714893306	181.665042691
EfM3.053290	814.041763086	231.210054334
EfM3.054620	406.56355471	115.605027167
EfM3.041360	232.322031263	66.0600155241
EfM3.004420	752.302640605	214.695050453
EfM3.038600	460.528121027	132.120031048
EfM3.077230	230.035397097	66.0600155241
EfM3.025050	514.035360511	148.635034929
EfM3.016880	284.91461708	82.5750194051
EfM3.068030	284.91461708	82.5750194051
EfM3.074360	284.91461708	82.5750194051
EfM3.028570	1082.49261417	313.785073739
EfM3.066820	909.623071224	264.240062096
EfM3.057390	454.125545362	132.120031048
EfM3.028720	340.251163897	99.0900232862
EfM3.061530	1020.75349169	297.270069858
EfM3.041500	1073.80340434	313.785073739
EfM3.026100	621.049839478	181.665042691
EfM3.049820	1069.68746284	313.785073739
EfM3.012380	2248.67603882	660.600155241
EfM3.027060	499.400901849	148.635034929
EfM3.001330	275.768080416	82.5750194051
EfM3.063020	766.022445601	231.210054334
EfM3.076080	382.782559384	115.605027167
EfM3.047290	273.024119417	82.5750194051
EfM3.049140	436.747125701	132.120031048
EfM3.071020	598.640824652	181.665042691
EfM3.016780	380.495925218	115.605027167
EfM3.001820	326.074032068	99.0900232862
EfM3.053000	542.846951002	165.15003881
EfM3.046640	15382.6453613	4706.77610609
EfM3.026110	483.85178952	148.635034929
EfM3.046080	698.795401121	214.695050453
EfM3.025360	697.880747455	214.695050453
EfM3.054190	375.465330053	115.605027167
EfM3.026600	426.685935371	132.120031048
EfM3.056730	51.2206053178	165.15003881
EfM3.047160	638.42825914	198.180046572
EfM3.016100	744.528084441	231.210054334
EfM3.011820	1486.31220788	462.420108669
EfM3.042110	108.8437863	346.815081502
EfM3.050200	315.555514904	99.0900232862
EfM3.057700	262.505602254	82.5750194051
EfM3.039270	366.776120222	115.605027167
EfM3.071180	365.861466556	115.605027167
EfM3.076320	311.439573406	99.0900232862
EfM3.040260	466.016043025	148.635034929
EfM3.027310	774.711655432	247.725058215
EfM3.034370	409.764842542	132.120031048
EfM3.012680	122.563591296	379.845089264
EfM3.011310	664.953215465	214.695050453
EfM3.066240	505.34615068	165.15003881
EfM3.031970	555.194775498	181.665042691
EfM3.009840	454.125545362	148.635034929
EfM3.076440	454.125545362	148.635034929
EfM3.038510	654.892025135	214.695050453
EfM3.072360	1055.51033101	346.815081502
EfM3.044710	502.144862848	165.15003881
EfM3.003350	752.302640605	247.725058215
EfM3.079730	401.075632712	132.120031048
EfM3.037040	158.235084285	478.93511255
EfM3.036920	299.091748909	99.0900232862
EfM3.082230	299.091748909	99.0900232862
EfM3.016700	696.966093789	231.210054334
EfM3.014790	496.656940849	165.15003881
EfM3.009790	942.550603214	313.785073739
EfM3.034310	346.653739562	115.605027167
EfM3.077970	1978.85320723	660.600155241
EfM3.006970	542.846951002	181.665042691
EfM3.077340	344.367105396	115.605027167
EfM3.011960	293.603826911	99.0900232862
EfM3.024480	439.948413533	148.635034929
EfM3.045190	388.270481382	132.120031048
EfM3.079010	387.813154549	132.120031048
EfM3.080480	774.711655432	264.240062096
EfM3.031180	580.805078157	198.180046572
EfM3.078640	1161.61015631	396.360093145
EfM3.034900	1011.14962819	346.815081502
EfM3.082730	384.154539883	132.120031048
EfM3.040950	287.658578079	99.0900232862
EfM3.048040	287.201251246	99.0900232862
EfM3.052950	333.848588232	115.605027167
EfM3.003660	474.705252856	165.15003881
EfM3.075520	331.104627233	115.605027167
EfM3.001970	424.856628038	148.635034929
EfM3.045420	471.04663819	165.15003881
EfM3.025670	563.426658496	198.180046572
EfM3.046090	606.872707649	214.695050453
EfM3.068970	653.062717802	231.210054334
EfM3.013520	978.679423036	346.815081502
EfM3.008730	3071.86433857	1089.99025615
EfM3.039430	324.702051568	115.605027167
EfM3.046980	416.62474504	148.635034929
EfM3.000570	879.439500233	313.785073739
EfM3.030160	2173.21711134	776.205182408
EfM3.025530	831.420182748	297.270069858
EfM3.011760	460.98544786	165.15003881
EfM3.014740	505.803477513	181.665042691
EfM3.035240	107.014478968	297.270069858
EfM3.053420	1832.96594744	660.600155241
EfM3.001480	364.489486056	132.120031048
EfM3.037430	263.42025592	726.660170765
EfM3.051180	3572.63722092	1321.20031048
EfM3.062600	445.436335532	165.15003881
EfM3.062010	1689.36532182	627.570147479
EfM3.033170	353.513642059	132.120031048
EfM3.055720	353.056315226	132.120031048
EfM3.077990	838.280085246	313.785073739
EfM3.063170	80.4895226423	214.695050453
EfM3.030940	1453.38467589	544.995128074
EfM3.013590	1056.88231151	396.360093145
EfM3.077380	834.164143747	313.785073739
EfM3.017940	522.724570341	198.180046572
EfM3.026250	477.906540688	181.665042691
EfM3.079390	326.988685734	858.780201813
EfM3.018520	1817.41683512	693.630163003
EfM3.053300	1638.1447165	627.570147479
EfM3.078550	559.76804383	214.695050453
EfM3.007200	471.961291857	181.665042691
EfM3.057230	469.674657691	181.665042691
EfM3.018540	512.206053178	198.180046572
EfM3.021810	230.49272393	594.540139717
EfM3.037280	102.441210636	264.240062096
EfM3.050470	140.856664624	363.330085383
EfM3.026720	425.771281704	165.15003881
EfM3.018710	1915.74210425	743.175174646
EfM3.065190	808.096514255	313.785073739
EfM3.015090	128.508840128	330.300077621
EfM3.029660	424.399301205	165.15003881
EfM3.037435	96.4959618041	247.725058215
EfM3.012130	591.323595321	231.210054334
EfM3.053950	629.739049309	247.725058215
EfM3.042990	542.846951002	214.695050453
EfM3.023050	663.123908132	264.240062096
EfM3.028850	1035.38795035	412.875097026
EfM3.015270	371.806715387	148.635034929
EfM3.021210	1560.85648169	627.570147479
EfM3.047170	778.82759693	313.785073739
EfM3.005250	489.339711518	198.180046572
EfM3.059900	407.478208376	165.15003881
EfM3.000930	120.734283963	297.270069858
EfM3.002010	1537.5328132	627.570147479
EfM3.009410	363.57483239	148.635034929
EfM3.039780	438.1191062	181.665042691
EfM3.077470	267.078870586	644.08515136
EfM3.065200	395.587710713	165.15003881
EfM3.022140	1463.44586622	611.055143598
EfM3.023160	710.685898784	297.270069858
EfM3.075710	1445.15279289	611.055143598
EfM3.059210	1283.71642078	544.995128074
EfM3.061540	1049.10775535	445.905104788
EfM3.074840	1049.10775535	445.905104788
EfM3.066650	466.016043025	198.180046572
EfM3.056000	776.540962764	330.300077621
EfM3.034270	1124.10935599	478.93511255
EfM3.073580	502.602189681	214.695050453
EfM3.031040	578.975770824	247.725058215
EfM3.003250	5618.71747263	2411.19056663
EfM3.046660	499.400901849	214.695050453
EfM3.056450	728.521645279	313.785073739
EfM3.060010	613.275283314	264.240062096
EfM3.025910	574.859829326	247.725058215
EfM3.066450	571.658541493	247.725058215
EfM3.031170	835.99345108	363.330085383
EfM3.069310	1891.96110893	825.750194051
EfM3.075530	488.882384685	214.695050453
EfM3.053820	525.011204507	231.210054334
EfM3.021690	6702.5820673	15193.8035705
EfM3.050980	6595.56758833	2923.15568694
EfM3.023430	409.764842542	181.665042691
EfM3.058080	481.565155354	214.695050453
EfM3.057650	444.064355032	198.180046572
EfM3.072190	806.724533755	363.330085383
EfM3.016790	905.507129725	412.875097026
EfM3.046360	470.589311357	214.695050453
EfM3.011410	1266.33800112	578.025135836
EfM3.039490	976.850115704	445.905104788
EfM3.003110	542.389624169	247.725058215
EfM3.037970	784.772845762	363.330085383
EfM3.071210	492.540999351	231.210054334
EfM3.045810	2292.12208797	1089.99025615
EfM3.063930	694.222132789	330.300077621
EfM3.051900	173.326869781	363.330085383
EfM3.011570	4179.9672554	1998.3154696
EfM3.077030	1034.93062352	495.450116431
EfM3.065830	616.019244313	297.270069858
EfM3.049350	1124.56668283	544.995128074
EfM3.047730	885.842075898	429.390100907
EfM3.064550	679.587674127	330.300077621
EfM3.076510	201.223806606	412.875097026
EfM3.008010	339.33651023	693.630163003
EfM3.044330	638.42825914	313.785073739
EfM3.046900	1132.79856582	561.510131955
EfM3.034390	498.943575015	247.725058215
EfM3.064110	730.808279445	363.330085383
EfM3.005290	1489.51349571	743.175174646
EfM3.000500	111.130420466	0
EfM3.000810	150.003201288	0
EfM3.000940	364.946812889	0
EfM3.003740	182.473406445	0
EfM3.004180	116.161015631	0
EfM3.004990	108.386459467	0
EfM3.005020	548.792199834	0
EfM3.005160	125.764879129	0
EfM3.013880	183.388060111	0
EfM3.014350	482.47980902	0
EfM3.017220	118.447649797	0
EfM3.018890	207.62638227	0
EfM3.019410	122.563591296	0
EfM3.019490	146.801913455	0
EfM3.019600	161.893698951	0
EfM3.021330	118.447649797	0
EfM3.021400	148.173893955	0
EfM3.021840	107.929132634	0
EfM3.022290	110.673093633	0
EfM3.022450	124.850225462	0
EfM3.022530	118.904976631	0
EfM3.022600	121.191610797	0
EfM3.024390	108.386459467	0
EfM3.025510	160.979045285	0
EfM3.028230	182.930733278	0
EfM3.029010	219.0595531	0
EfM3.029520	164.63765995	0
EfM3.031540	257.475007089	0
EfM3.035000	110.673093633	0
EfM3.035560	102.898537469	0
EfM3.036500	106.099825301	0
EfM3.040280	121.191610797	0
EfM3.040720	109.301113134	0
EfM3.041600	172.869542948	0
EfM3.042090	128.051513294	0
EfM3.042380	103.813191135	0
EfM3.042750	109.301113134	0
EfM3.043020	140.399337791	0
EfM3.043170	181.558752778	0
EfM3.043400	230.49272393	0
EfM3.045450	128.051513294	0
EfM3.045460	134.911415792	0
EfM3.045730	225.004801932	0
EfM3.047630	150.003201288	0
EfM3.050680	167.838947782	0
EfM3.052080	259.761641255	0
EfM3.052970	111.130420466	0
EfM3.053730	144.057952456	0
EfM3.055200	103.813191135	0
EfM3.058610	126.679532795	0
EfM3.059980	110.2157668	0
EfM3.063200	110.2157668	0
EfM3.063290	142.228645124	0
EfM3.063340	349.855027394	0
EfM3.064070	107.929132634	0
EfM3.064670	105.185171635	0
EfM3.065610	112.502400966	0
EfM3.069050	122.106264463	0
EfM3.069180	113.417054632	0
EfM3.069580	1075.17538484	0
EfM3.070110	179.272118612	0
EfM3.072420	165.552313616	0
EfM3.075830	107.929132634	0
EfM3.077360	124.392898629	0
EfM3.078540	182.016079611	0
EfM3.079500	119.819630297	0
EfM3.079950	134.454088959	0
EfM3.066100	655.806678801	330.300077621
EfM3.025570	643.916181138	330.300077621
EfM3.023480	690.106191291	363.330085383
EfM3.019300	657.178659301	346.815081502
EfM3.059220	748.186699106	396.360093145
EfM3.030740	277.140060916	511.965120312
EfM3.042420	725.77768428	396.360093145
EfM3.034550	926.544164052	511.965120312
EfM3.066420	1093.925785	611.055143598
EfM3.028220	788.888787261	445.905104788
EfM3.000970	1256.27681079	710.145166884
EfM3.048190	743.156103941	429.390100907
EfM3.056360	1735.09800514	1007.41523674
EfM3.065990	354.885622559	611.055143598
EfM3.082260	1769.85484446	1056.96024839
EfM3.014490	961.758330208	578.025135836
EfM3.059570	2663.92880336	1634.98538422
EfM3.024310	15603.9915486	9578.702251
EfM3.044630	559.310716997	908.325213456
EfM3.067730	1401.24941691	941.355221218
EfM3.040190	2357.06249829	3451.63581113
EfM3.042920	0.457326833195	16.515003881
EfM3.056910	0.457326833195	16.515003881
EfM3.063080	0.914653666389	33.0300077621
EfM3.066210	0.457326833195	16.515003881
EfM3.068370	0.457326833195	16.515003881
EfM3.008790	1.37198049958	33.0300077621
EfM3.004170	0.914653666389	16.515003881
EfM3.032160	0.914653666389	16.515003881
EfM3.048640	0.914653666389	16.515003881
EfM3.059560	1.82930733278	33.0300077621
EfM3.061680	0.914653666389	16.515003881
EfM3.074110	0.914653666389	16.515003881
EfM3.077150	0.914653666389	16.515003881
EfM3.077840	0.914653666389	16.515003881
EfM3.010500	1.37198049958	16.515003881
EfM3.030920	1.37198049958	16.515003881
EfM3.033240	1.37198049958	16.515003881
EfM3.070930	1.37198049958	16.515003881
EfM3.073540	1.37198049958	16.515003881
EfM3.074720	1.37198049958	16.515003881
EfM3.011250	1.82930733278	16.515003881
EfM3.014140	1.82930733278	16.515003881
EfM3.021730	1.82930733278	16.515003881
EfM3.070350	1.82930733278	16.515003881
EfM3.023690	144.057952456	16.515003881
EfM3.022260	143.14329879	16.515003881
EfM3.040660	143.14329879	16.515003881
EfM3.050590	142.228645124	16.515003881
EfM3.023250	140.399337791	16.515003881
EfM3.036340	140.399337791	16.515003881
EfM3.038580	140.399337791	16.515003881
EfM3.053680	140.399337791	16.515003881
EfM3.014410	139.942010958	16.515003881
EfM3.021570	139.942010958	16.515003881
EfM3.037800	138.570030458	16.515003881
EfM3.078510	138.570030458	16.515003881
EfM3.032050	138.112703625	16.515003881
EfM3.002470	137.655376792	16.515003881
EfM3.080500	137.655376792	16.515003881
EfM3.024020	5.94524883153	49.5450116431
EfM3.006500	135.826069459	16.515003881
EfM3.019140	135.368742626	16.515003881
EfM3.025150	135.368742626	16.515003881
EfM3.061710	133.996762126	16.515003881
EfM3.062340	133.539435293	16.515003881
EfM3.036750	133.08210846	16.515003881
EfM3.038400	133.08210846	16.515003881
EfM3.012710	4.11594149875	33.0300077621
EfM3.021430	4.11594149875	33.0300077621
EfM3.054450	4.11594149875	33.0300077621
EfM3.056010	4.11594149875	33.0300077621
EfM3.050890	132.167454793	16.515003881
EfM3.051160	131.71012796	16.515003881
EfM3.009995	130.795474294	16.515003881
EfM3.053370	129.880820627	16.515003881
EfM3.079470	129.880820627	16.515003881
EfM3.044410	128.508840128	16.515003881
EfM3.058190	128.508840128	16.515003881
EfM3.009520	128.051513294	16.515003881
EfM3.028350	6.40257566472	49.5450116431
EfM3.004340	127.594186461	16.515003881
EfM3.054260	127.594186461	16.515003881
EfM3.012060	127.136859628	16.515003881
EfM3.069960	127.136859628	16.515003881
EfM3.078870	127.136859628	16.515003881
EfM3.041560	125.764879129	16.515003881
EfM3.062000	123.935571796	16.515003881
EfM3.018650	123.020918129	16.515003881
EfM3.027440	122.106264463	16.515003881
EfM3.050240	122.106264463	16.515003881
EfM3.067490	121.64893763	16.515003881
EfM3.029760	121.191610797	16.515003881
EfM3.037450	121.191610797	16.515003881
EfM3.069780	121.191610797	16.515003881
EfM3.080070	120.27695713	16.515003881
EfM3.029360	119.819630297	16.515003881
EfM3.022660	2.28663416597	16.515003881
EfM3.027090	2.28663416597	16.515003881
EfM3.033430	2.28663416597	16.515003881
