,experience 1,experience 2,experience 3,experience 4,experience 5,experience 6,experience 7,experience 8,experience 9,experience 10,experience 11,experience 12,experience 13,experience 14,experience 15,experience 16,experience 17,experience 18,experience 19,experience 20,experience 21,experience 22,experience 23,experience 24,experience 25,std,mean,median
gene 66,411.93568,678.29531,1003.50728,649.44727,698.89526,915.21787,599.92794,1093.35312,608.70751,733.97502,1386.74105,650.83275,900.63781,885.73086,899.62656,1284.02165,739.27443,845.34869,1080.02748,609.89385,937.93485,864.24814,808.42078,958.88032,696.64856,218.37652,837.66120,845.34869
gene 67,683.44556,899.94722,467.02779,657.90730,716.18353,942.21610,438.13943,589.69440,865.95965,961.38245,539.15905,900.20618,901.24998,646.72454,542.28937,859.89831,648.52268,790.01003,652.74385,692.73242,914.82793,536.17902,441.68888,561.70973,678.12195,162.95858,701.11869,678.12195
gene 68,1008.10926,1194.67521,1130.53728,1040.59474,1274.22637,1020.73995,744.76135,753.98553,1478.42628,880.61145,1052.31061,1254.18030,1309.29799,771.34078,1181.11816,1101.05168,1116.10758,1043.61445,1377.64793,889.53699,1406.17869,960.21200,1247.62660,1366.44392,1066.04924,201.10819,1106.77537,1101.05168
gene 69,136.57722,107.02986,195.15905,230.71486,191.12395,182.57240,162.85489,128.22895,183.48963,244.04219,216.04587,191.11060,200.43148,115.86104,244.70921,230.03512,209.43751,179.60563,226.17487,223.49618,208.89386,183.44293,161.69177,163.00694,178.17534,37.27497,187.75645,191.11060
gene 70,95.05709,98.41393,83.86200,112.42426,78.02666,114.27489,112.69923,112.15274,122.49944,91.94541,111.78385,117.65005,88.08237,102.34892,92.66460,60.09190,88.06849,96.60915,110.90287,84.65775,106.07745,90.77665,64.71188,162.46304,88.68285,20.15048,99.47710,96.60915
gene 71,1798.92184,1264.28435,1626.02641,2210.37784,1878.26551,1780.26042,1802.30347,2047.38137,1671.57027,1698.65353,1543.50983,1302.02842,1850.81843,1602.93523,1421.54107,1748.24576,1821.74415,1653.27663,1864.63088,2020.69693,1775.80115,968.24959,1223.80422,1636.73882,1127.06001,291.47524,1653.56505,1698.65353
gene 72,1677.85222,1708.83142,1443.61619,1309.86280,1510.44436,1511.44875,1871.21715,1376.22008,1526.37695,1714.21213,1565.37866,1327.94011,1589.88126,1437.42164,918.86931,1379.98951,1231.44311,1440.90864,1567.59120,1624.17744,2124.40951,1685.84810,1314.97428,1975.74611,1537.88450,241.99912,1534.90182,1526.37695
gene 73,1292.51145,1558.74661,1044.10177,1159.76670,1241.22036,1328.58770,1351.97929,973.15053,1510.06677,1272.67273,1539.87871,1503.02409,1107.18586,1405.04140,1398.53119,1442.34678,1079.85479,1408.67214,1762.98899,1457.78653,1177.90519,1394.61756,1620.91778,1593.97086,1713.93033,203.62390,1373.57824,1398.53119
gene 74,1878.42941,2321.62558,1349.18616,723.90693,1878.19652,1579.72701,1732.76960,1305.65876,2236.37268,2278.63968,2644.39910,1626.99288,2321.14741,2371.18212,2231.41797,1578.89001,1458.92248,2080.16721,1877.59533,2269.59609,2153.41479,1780.60286,1573.89810,2232.78282,2058.97371,425.74427,1901.77981,1878.42941
gene 75,64.90648,99.28439,106.81838,123.13883,115.13947,54.01947,99.01469,82.93094,81.57725,81.53738,95.06694,104.41024,95.97986,51.25319,123.17535,107.51532,90.59918,89.86296,99.84214,101.93326,96.14906,99.32685,65.60068,106.56660,94.33559,18.40894,93.19938,96.14906
gene 76,1908.19800,2451.49545,1495.17123,1750.91946,1857.80238,2153.98764,1114.42090,1840.19627,2055.57062,2081.05971,2347.58344,1704.27135,1604.55114,2085.03439,2183.78788,1545.88993,1952.69632,2115.05239,2056.88330,2085.84713,1577.20579,2088.85765,2345.84394,1977.21256,1486.28092,311.06258,1914.63279,1977.21256
gene 77,1672.87104,1802.20062,2284.00676,2860.25724,1677.82831,2029.20477,2283.49868,1202.89130,2169.84035,1810.79054,1993.44400,2079.32311,2285.95484,1957.71289,1905.53391,1627.76568,1696.53793,1772.67734,2031.45201,2190.01065,2133.55297,1860.12470,1522.87256,1915.64247,2602.80028,339.98359,1974.75180,1957.71289
gene 78,1078.48419,1057.06226,1153.45243,760.75975,840.05136,867.72459,946.25058,1105.40831,1362.51928,1151.73731,1001.73811,752.64203,1004.32926,1048.59036,894.53845,1064.44124,943.39216,1202.79291,1145.51850,681.60606,1241.80685,1044.02977,929.77761,1027.22328,873.43589,158.52587,1007.17250,1027.22328
gene 79,497.27417,441.18909,411.88177,677.93808,572.35284,697.35780,633.27303,499.62093,600.69064,572.46124,467.91892,472.61577,292.82082,430.29964,378.78473,527.01370,567.72848,455.92419,808.30421,635.67039,471.74788,604.42987,597.39493,483.49384,523.17386,109.58354,532.85443,523.17386
gene 80,1846.63631,2499.03836,1430.52065,1861.27290,1267.67499,1543.21268,1741.15628,1428.82209,1386.74449,2226.78783,1199.49262,1469.94241,1726.71986,1826.17944,1803.57878,1459.77054,2178.02390,1763.57136,1946.35872,1686.37912,2080.74391,1353.21392,1666.85727,2157.80194,1621.16198,320.43456,1726.86649,1726.71986
gene 81,401.47364,357.16289,376.32361,571.25727,495.90476,395.78611,412.77070,540.61702,490.09531,422.19196,500.26004,533.06064,439.74051,336.55671,544.38816,431.17117,374.03371,355.67244,512.11282,383.94249,601.73890,337.04192,393.79215,443.49507,567.23006,78.83420,448.71280,431.17117
gene 82,1645.50533,1676.22605,1982.11727,1801.11464,863.50259,1658.92503,1649.29205,1474.24957,1507.79390,1489.09800,1759.33887,1180.87581,1763.39391,1193.03705,976.33835,940.94853,824.41209,1655.13944,1481.52821,1306.14926,1409.86430,1941.42102,1731.11448,2332.93237,1155.66553,365.24243,1495.99935,1507.79390
gene 83,1036.12016,479.86419,892.11677,808.15462,644.79207,932.40585,720.04619,985.42049,811.55691,642.83659,599.92969,701.70607,769.71113,582.88468,812.69587,767.28922,751.78734,902.01910,606.03456,636.18979,931.73163,1032.90129,815.83514,935.20041,453.75727,159.73415,770.11948,769.71113
gene 84,1502.20030,1424.67077,1751.83590,1358.86035,2181.96380,1955.43354,1416.96624,1658.67107,1725.93753,1659.36342,1954.93541,1744.85997,1750.01208,1669.04547,2292.49261,1484.97002,1234.28923,1981.39994,1816.76979,1724.25557,1855.05365,925.25315,2280.88668,2017.97920,2050.47760,319.09949,1736.74333,1744.85997
gene 85,241.97040,93.13778,279.15745,173.59071,189.02982,198.32762,176.45296,182.77939,199.62327,181.90184,143.19635,223.14220,119.74738,140.45068,181.93488,97.30951,188.25537,238.80657,207.53871,192.29427,212.58039,168.74391,190.91583,179.54025,166.19335,41.51788,182.66484,182.77939
gene 86,462.30564,516.73127,504.72774,427.20337,446.65347,393.76781,236.91675,354.15362,449.44953,391.98022,493.66951,447.60050,457.93332,402.19098,423.09186,510.99279,409.98957,437.98179,402.09275,494.29182,457.25331,414.88939,436.40893,395.37002,457.61458,57.01026,433.01042,437.98179
gene 87,1176.51027,1110.97066,892.65488,896.59299,840.23919,1256.81938,694.68940,1190.86566,1408.28671,1386.56678,1365.91461,1230.63988,860.54807,1537.88610,960.28138,858.11249,888.36226,1437.28759,669.12015,1125.80087,1120.88126,1131.10796,1383.72126,1288.28789,1752.52909,268.16363,1138.58707,1131.10796
gene 88,865.40835,998.65616,1141.67698,642.81256,888.14573,1089.63573,1167.26128,1097.00093,988.03322,776.68578,629.84840,657.96223,1034.56118,1042.54322,1082.33745,1331.43787,759.33487,752.88890,975.89807,995.65415,1058.35146,1055.17877,969.85162,1345.14676,633.22460,198.62440,959.18145,995.65415
gene 89,635.13268,312.68694,496.84273,389.35700,329.54052,491.31409,305.44508,363.41639,477.19362,469.07757,418.56433,644.09670,398.10885,476.87157,386.82144,521.69506,377.10438,331.03316,490.76149,530.74773,406.53495,376.97114,482.82479,748.10869,535.02416,107.16806,455.81100,469.07757
